Name,Ward,Address,Landline Nos.,Class from,Class to,School Type,Website,Email,BMC Dept.,Twitter Handle,Direction,
MAHARASHTRA MANDAL LP,N WARD,OFFICE BULD.NO.8 PANTNAGAR GHATKOPAR EAST,022-0,1,4,3-Co-educational,,mmpschool1979@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0851310006132,72.9121849995381",
MANAV VIKAS VIDYALAYA,L- WARD,"Ramleela Maidan, Khairani Road, Sakinaka, Mumbai-400072.",022-28510680,1,4,3-Co-educational,,hmmanavikasprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1056130007144,72.8912810003948",
MANGESH VIDYAMANDIR,P/N- WARD,DINDOSHI MUMBAI MAHANAGARPALIKA,022-28410746,1,4,3-Co-educational,,mangeshvidyamandir@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1844839996201,72.862692999656",
MAROL PRAGTIK LP,K/E,kadamwadi andheri e mumbai 59,022-28252937,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400152,mpps11111@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1125769994766,72.8730229995576",
MAROL URD LP,K/E,Gaon Devi Talav Marol Maroshi Road Marol Andheri EAST Mumbai 400059,022-29205081,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400104,mupschool24@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1151550000369,72.8813769997077",
MARWARI COMMERCIAL SCHOOL,C,"guzdar street,chira bazar,mumbai -2",022-22014150,1,4,3-Co-educational,,janmotri70@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9483719992058,72.8241050002425",
MAT KANBAI LALBAI GIRLS SCHOOL,K/W,JVPD Scheme N S Road No-6 Vileparle -West Mumbai-400056,022-61544022,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400315,mklmlohanakanyashala@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1048970002143,72.832538000174",
MATOSHREE VIDYAMANDIR LP,M/E,"DATTARAM G.PATIL ESTATE, NEAR GOVT.LADIES HOSTEL, SION TROMBAY RD, DEONAR, MUMBAI-400088",022-25584024,1,4,3-Co-educational,,matoshreevidyamandir@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0440000002709,72.9226810001804",
MATOSHRI SUNDRABAI N SAMANT LP,K/E,SHANTI APP 3 MAROL MILITARY RD MUMBAI 59,022-29254168,1,4,3-Co-educational,www.ses.sarswati.com,sarswatisamantprathamik@gmail.com,Education Dept,@mybmcedu,https://www.google.com/maps/search/?api=1&q,
MOUNT MARY LP,P/S-WARD,"256, JAWAHAR NAGAR, GOREGAON WEST, MUMBAI 400104",022-28721266,1,4,3-Co-educational,www.mountmaryhighschool.com,adminschool@mountmaryhighschool.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1574359996923,72.8491060005457",
MRS DAMYANTI DEVI TILAKGHARI,R / C,Sharda Estate L T Road Vazira Naka Borivali,022-28980124,1,4,3-Co-educational,,dtjha.pv@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2283029995262,72.8450429999604",
MULUND VIDYAMANDIR,T-WARD,"J.N.Road,Mulund West Mumbai 400080",022-20818478,1,4,3-Co-educational,,mvm.primary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1432850002515,72.9351020003863",
MUMBAI URDU LP,K/E,Bld No 3C Andheri United CHS Ltd Near Noor Masjid VP Road Gaondevi Dongri Andheri W Mumbai 400058,022-26280319,1,4,3-Co-educational,www.education.maharashtra.gov.in/saral/27220400430,abrarkarai10@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1202150003575,72.8409499996703",
MUSLIM EDU SOC PRIM,L- WARD,"Mahajan Wadi, Halav Pool, Kurla West, Mumbai 400070",022-25034882,1,4,3-Co-educational,www.education.maharashtra.gov.in/saral/27220900176,shahid777ans@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0767220001652,72.8848390000491",
MATRUCHHAYA GUJ LP,R / N,"C.S.RoadNo 2,Anand Nagar Dahisar East",022-28481851,1,4,3-Co-educational,,meschoolcollege@yahoo.co.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.256409999604,72.8610099993497",
MATUSHREE KUVARBAI VELGI VIDYA MANDIR,F/S - WARD,"47/C, DR. BA Road, opp. voltas house, chinchpokli, mumabi 12",022-23728131,1,4,3-Co-educational,,mkvvidyamandir123@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0069090004503,72.8375020002149",
MATUSHRI V V GUJ,R / C,FACTORY LANE BORIVALI WEST MUMBAI 400092,022-28990984,1,4,3-Co-educational,education.maharashtra.gov.in,matushrivvgala@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2272019999441,72.8509279999777",
MAULANA AZAD PRIMARY SCHOOL,E,"ahlehadees manzil ,mominpura, byculla 400011",022-23001647,1,4,3-Co-educational,,maulanazadprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9762449997708,72.8278380001069",
MILIND VIDYALA MARATHI,S-WARD,"MAHATMA PHULE NAGAR,AAREY ROAD,POWAI,MUMBAI-400087",022-28570062,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220600104,milindvidyalayapri@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1385650000244,72.8968800001397",
MILLAT LP,P/N1-WARD,R29 Plot no 25 OCC Malvani Malad West Mumbai,022-28819714,1,4,3-Co-educational,,primary.millat@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1891250002015,72.8207509999706",
MINAL VIDYAMANDIR SEWREE,F/S - WARD,MINAL VIDYA MANDIR NAKWA WADI T J ROAD SEWREE MUMBAI400015,022-24140641,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27221000143,minalvidyamandir@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9972199999147,72.8503979995124",
MODERN LP,L- WARD,Ganesh Baug Lane Opp State Bank of India LBS Marg Kurla W Mumbai 70,022-0,1,4,3-Co-educational,,modernprimarykurla70@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0655669997098,72.8753039999213",
MOHAMMADI URDU LP,S-WARD,CTS89 HAJI AYUB KHUDADAD KHAN MARG SONAPUR BHANDUP MUMBAI 400078,022-25962896,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220600260,mups.school@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1633279995865,72.9336450003943",
MOHAN MORESHWAR MAR,R / N,MORESHWAR BHOIR SHIKSHAN KENDRA S.N. DUBE ROAD RAWAL PADA DAHISAR EAST,022-28977944,1,4,3-Co-educational,www.education.maharashtra.gov.in,mmbpri@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2471030002026,72.8679019997137",
MOHANDAS PARMANAD BHUTA GUJ,F/ N -WARD,Jain Society Sion west 400022,022-24071836,1,4,3-Co-educational,,mpbhuta1956@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0383739996682,72.8593429998501",
MOHITE PATIL VIDYALAYA,M/E,"New Mhada Colony , Mankhurd",022-0,1,4,3-Co-educational,,mohitepatil2003@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0533300000014,72.9328519995289",
NALANDA ENGLISH PRIMARY SCHOOL,R / C,"Rajendra Nagar, Dattapada Rd. Borivali East. Mumbai 400066",022-28709860,1,4,3-Co-educational,www.mynehs.in,nalandaschool123@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2181579997153,72.8585689994924",
NATIONAL URDU LP,K/E,I BLOCK IDDGAHA MAIDAN PREM NAGAR JOGESHWARI EAST MUMBAI 400060,022-28229829,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400232,nationalurduprimaryschooljog@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1333869997365,72.859736999313",
NAVAJIVAN VIDYALYA HINDI,P/N- WARD,RANISARI MARG MALAD EAST,022-28772871,1,4,3-Co-educational,,navjeevanvidyalaya@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1829199998921,72.8506000002289",
NAVJEEVAN VIDYAMANDIR,S-WARD,NAVJEEVAN VIDYAMANDIR GANESH NAGAR GANESH PATH BHANDUP W 78,022-25958444,1,4,3-Co-educational,navjeevan.edu.com,yogeshpatil4581@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.151702999545,72.9302759995457",
NAVJIVAN KALYAN VIDYALAYA,K/E,Behram Baug jogeshwari West Mumbai 102,022-26731666,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400439,nkvidyalaya@yahoo.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1428580004209,72.8368300000691",
NAVJIVAN VIDYALYA GUJ,P/N- WARD,NAVJ AN VIDYALAYA GUJARATI PRIMARY RANI SATI MARG MALAD EAST MUMBAI 400097,022-28772871,1,4,3-Co-educational,,navjeevanvidyalaya@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1828530003506,72.8505319991716",
NAVTARUN UTKARSHA LP,T-WARD,"GAVANPADA , M.F.ROAD, MULUND - EAST, MUMBAI 400081",022-25634391,1,4,3-Co-educational,,navtarunutkarsh@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1736840002751,72.9630029998185",
NEW ENGLISH BHANDUP MAR,S-WARD,NAVAL CIVILIAN HOUSING COLONY LBS MARG KANJUR MARG WEST MUMBAI 400078,022-25781169,1,4,3-Co-educational,,newenglishschoolmarathiprimaryg@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1352679998636,72.9260480001768",
NEW ENGLISH BHANDUP ENGLISH SCHOOL,S-WARD,NAVAL CIVILIAN HOUSING COLONY KANJURMARG WEST MUMBAI -78MBAI 78,022-25781169,1,4,3-Co-educational,,newenglishschoolenglishprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1359480004447,72.9255450002791",
NEW HABIB HIGH SCHOOL,B,PRINCIPAL SHAIKH HASAN MARG DONGRI MUMBAI 9,022-23776324,1,4,1-Boys,,newhabibhighschool46@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9577450005697,72.8368000002767",
NIRMAL VIDYALAYA WADALA,F/ N -WARD,GANESH NAGAR S.P ROAD WADALA E MUMBAI 400037,022-24154748,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27221000269,nirmalvidyalayap@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0186839998822,72.8685820002012",
NONDHABHAI BHALABHAI GUJ,R / N,swami vivekanand education centre misquitta nagar vidya mandir magr dahisar east mumbai 400068,022-28283259,1,4,3-Co-educational,,nbbharwadgujprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2542520005708,72.8597619996558",
NOORUL ISLAM URDU LP PRIMARY SCHOOL,M/E,"PLOT NO. 25, SHIVAJI NAGAR GOVANDI, MUMBAI 400 043",022-25512397,1,4,3-Co-educational,,niupsgovandi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0667969998794,72.9209980002695",
NUTAN SARASWATI HINDI,T-WARD,Amar Nagar G G S Road Mulund W Mumbai 82,022-25928882,1,4,3-Co-educational,,nutansaraswati.vid@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1701620002145,72.9320369995489",
NUTAN VIDYA MANDIR,M/E,"V.N.PURAV MARG,MANKHURD-E,MUMBAI 88",022-25511077,1,4,3-Co-educational,,nutanvidyamandir81@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.041275000212,72.9314760002294",
NUTAN VIDYAMANDIR MAR,P/N- WARD,"BHIM NAGAR,KURAR VILLAGE,MALAD,EAST.",022-29656612,1,4,3-Co-educational,education.maharashtra.gov.in,nutanvidyamandirprimarathi30@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1917319999922,72.8666400005294",
NUTUN VIDYAMANDIR HINDI,P/N- WARD,BHIM NAGAR KURAR VILLAGE MALAD EAST MUMBAI 400097,022-29656611,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220300260,nutanvidyamandirprihindi31@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1920270000661,72.8667280003219",
N V MANDIR MAHARASHTRA VIDYALP,P/S-WARD,"UNNAT NAGAR NO. 04, GOREGAON WEST",022-28712284,1,4,3-Co-educational,,maharashtravidyalayapri@gail.com,Education Dept,@mybmcedu,,
N.K.E.S KANNADA PRIMARY SCHOOL,F/ N -WARD,wadala west mumbai 400031,022-24184524,1,4,3-Co-educational,www.nkes.in,kannadaskool@yahoo.com,Education Dept,@mybmcedu,,
OUR LADY OF DOLOURS ENG LP,G / N,"S. K. BOLE ROAD, DADAR, MUMBAI 400028",022-24224355,1,4,1-Boys,www.olss.edu.in,ourladyofdolours40@gmail.com,Education Dept,@mybmcedu,,
OUR LADY'S SCHOOL,F/S - WARD,205 Dr Ambedkar Road Dadar East,022-24151268,1,4,1-Boys,www.ourladyshome.com,0l_school@rediffmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0076239996689,72.8422829994886",
P Z PATEL VIDYALAYA,P/S-WARD,220 JAWAHAR NAGAR GOREGAON WEST MUMBAI,022-28724763,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220300149,pzpv220@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1577849995527,72.8480759996512",
PAL RAJENDRA PRI MAR,R/S-WARD,HANUMAN NAGAR AKURLIROAD KANDIVALI EAST MUMBAI 400101,022-29655683,1,4,3-Co-educational,www.rajendrapal.org,palrajendra@rajendrapal.org,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1980959997601,72.865856999909",
PAL RAJENDRA PRIMARY HINDI SCHOOL,R/S-WARD,Hanuman nagar Kandivali East Mumbai 400101,022-29655683,1,4,3-Co-educational,,palrajendra@rajendrapal.org,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1985930001518,72.8661359995423",
PARAG VIDYALAYA MARATHI PRIMARY,S-WARD,"NEAR SHIVAJI MAHARAJ TALAO , BHANDUP WEST",022-25946053,1,4,3-Co-educational,education.maharashatra.gov.in/saral/27220600225,paragvidyalaya@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.146752999808,72.9306790003024",
PARAM PUJYA BAJRANGDAS BAPPA SCHOOL,R / N,Shivai Sankul Shiv Vallabh Cross Road rawalpada Dahisar East,022-28974097,1,4,3-Co-educational,,ppbbvidyalaya@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2451559997444,72.8684870002423",
PARANJPE VIDYALAYA LP,K/E,"Vijay Nagar Society,S N Marg,Mumbai 400069",022-26823605,1,4,3-Co-educational,,pvps.1970@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0433929997279,72.8450030002816",
PARLE TILAK VIDYALA LP,K/E,HANUMAN ROAD VILE PARLE EAST MUMBAI 400 057,022-26117391,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400119,ptvmarathiprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1042989996486,72.8472469998511",
PATHANWADI URDU PRAIMARY SCHOOL,P/N- WARD,"amin chawl,rani sati marg.pathanwadi malad east",022-0,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220300232,pathanwadiurdups@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1779549995939,72.8620089996604",
PEOPLE'S WELFARE SOCIETY'S PRIMARY SCHOOL,F/ N -WARD,"Amar Bhavan Plot No.27 Road No. 2 Sion East, Mumbai 400022",022-24010285,1,4,3-Co-educational,,pwsps061960@rediffmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0445479999403,72.8673899998103",
PRABHAVATI KULKARNI LP VIDYALA,F/S - WARD,M.Phule Road Naigaum Dadar,022-24126125,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27221000178,pkpv1956@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.012506999794,72.8445600001883",
PRAGATI PRATHAMIK VIDHYAMANDIR,S-WARD,Nardas Nagar Tembipada Road Bhandup West,022-25958134,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220600216,ppvmbhandup@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1512030006629,72.9283069993862",
PRAGATI VIDYALYA MAR,R / C,"BMC School No.9, Gorai -2, Borivali west, Mumbai 400092",022-2220000,1,4,3-Co-educational,,pragatividyalaya95@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2233320000824,72.8309739995873",
PRATHANA SAMAJ LP,K/E,"40, Prarthana Samaj Rd, Marg, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",022-26136983,1,4,3-Co-educational,,psps.vp@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1031339999921,72.8513399999565",
PRBODHAN KURLA LP,L- WARD,"VITTHAL MANDIR, NEW MILL ROAD,KURLA WEST",022-0,1,4,3-Co-educational,www.education.maharashtra.gov.in,pkps1998@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0740550002416,72.8802780001361",
PRIYADARSHANI VIDYYAM MAR,R / C,SECTOR7 CHARKOP KANDIVALI WEST MUMBAI400067,022-28692583,1,4,3-Co-educational,priyadarshinirbssm.org,priyadarshini.vidyamandir@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2233690000297,72.8312259992534",
PUBLIC HINDI LP SCHOOL,H/E -WARD,"Hind Nagar, Aaram Society Road, Vakola Market, Santacruz East, Mumbai - 55",022-26673171,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220500269,hindsevaparishad@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0779019992393,72.8432429997158",
R C MARUTI HINIDI LP,K/E,MAHAKALI CAVE ANDHERI EAST,022-28377897,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400167,rcmjrc@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1225129996747,72.8675310001289",
R.R.EDUCATION TRUST MARATHI PRIMARY SCHOOL,T-WARD,"A mahanagar palika ,urc 6",022-25635008,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220600379,rreducationtrust@yahoo.co.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1670069995002,72.9665730002198",
RAJ MARATHI PRATHAMIK VIDYAMANDIR KANDIWALI,R/S-WARD,Mahindra Compound Damu Nagar Akurli Road Kandivali East Mumbai 400101,022-29666986,1,4,3-Co-educational,,rajprathmik@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.202145000831,72.879240999766",
RAJE SAMBHAJI VIDYALAYA LP MAR,H/E -WARD,Patel Nagar Golibar Colony Santacurz E Mumbai 55,022-26192780,1,4,3-Co-educational,education.maharashtra.gov.in,rajesambhajividyalaya@yahoo.co.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0749620000791,72.845206999998",
RAM GOPAL KEDIYA LP,K/E,"Asmita Bhavan, Aajgaonkar Maidan,W.E.Highway,Jogeshwari East",022-28245939,1,4,3-Co-educational,,rgkpv@asmitatrust.org,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1423540001984,72.8544900000361",
RAMESHWAR VIDYA MANDIR LP MAR,H/E -WARD,Vakola Datta mandir Santacruz E,022-26682742,1,4,3-Co-educational,education.maharashtra.gov.in,rvmvidyamandir@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0846759997805,72.8527540001278",
RAMJI AASAR VIDYALAYA GUJ,N WARD,"M.G.ROAD, GHATKOPAR EAST, MUMBAI - 400077",022-67551358,1,4,3-Co-educational,www.ramjiassar.org,ravguj11@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0816730001258,72.9039570001344",
RAMKALIDEVI SANMAN VIDYAMANDIR ENGLISH,S-WARD,Sanman singh Marg Bhandup West Mumbai-78,022-25957209,1,4,3-Co-educational,,smtrssvidyamandirengpri@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1483819995585,72.9292510000474",
RAMKRISHANA VIDYALYA MAR,R / C,"OM JAGANNATH NAGAR, JAGARDEV COMPOUND, KAJUPADA, BORIVALI EAST, MUMBAI 400066",022-28975571,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220100135,roshni_shinde12@rediffmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2366220005597,72.8713380003926",
RAVINDRA BAL VIDYANIKETAN MAR,R/S-WARD,"sec.No.1,plot No.2/148,charkop kandivali w mumbai",022-28679610,1,4,3-Co-educational,,ravindrabalvidyaniketan@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2128919991698,72.8248820001457",
REGINA PACIS CONVENT SCHOOL,E,"Regina pacis, Seth Motisha Road, Opp Byculla police station, Byculla 27",022-23733275,1,4,2-Girls,,reginapacis.primary@yahoo.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9738450001874,72.8347429996009",
REHMATBAI HABIB GIRLS HIGH SCHOOL,B,"PRINCIPAL SHAIKH HASAN MARG, KESAR BAUG,CHAR-NULL,DONGRI.",022-23776324,1,4,2-Girls,,rhhsprimary@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.957521999436,72.8349490006935",
SHRI GOVIND BAL MANDIR PRI.,K/E,R K SING MARG AMBEWADI MOGRA PADA ANDHERI EAST 400069,022-28378903,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400253,primaryshalasgbm1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1277319995895,72.8513929996907",
SHRI MANILAL VADILAL NANAVATI PRI. SCHOOL,K/W,dadabhairoad vileparie west,022-26715413,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400325,mvnps.123@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1063749992141,72.8407260000397",
SHRI MOHANBHAI M PATEL GUJ,R / C,J B Khot HIgh School Datta Pada Road,022-28704929,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220100106,mmpatelprimaryschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.222067000267,72.8597130003598",
SHRI MUMBADEVI MANDIR RATNCHAN,N WARD,Cama lane and Hansoti lane Ghatkioar west Mumbai 400086,022-25164361,1,4,2-Girls,,mmrpkshala@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0836399997785,72.9014340000583",
SHRI NARAYANRAO ACHARYA VIDYANIKETA,M/W,H.P COLONY WEST NEAR MYSORE COLONY MONORAIL STATAION CHEMBUR MUMBAI -74,022-0,1,4,3-Co-educational,,snavn1988@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0279969999242,72.8909960004185",
SHRI RATANSHI GORDHANDAS BAJARIA ENG SCHOOL,R / C,C/o G.H.school compound M.G.Road Borivali East Mumbai 400066,022-28924254,1,4,3-Co-educational,www.education.maharashtra.gov.in/saral/27220100128,kanchansanjayk@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2323029994963,72.8598730006108",
SHRI SAI VIDYAMANDIR MAR,P/N1-WARD,AKSA VILLAGE MADH MARVE ROAD MALAD WEST,022-28440595,1,4,3-Co-educational,,sssvmaksa@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1761880002289,72.7985480000133",
SHRI SAINATH SHIKSHAN SAN LP,L- WARD,HIMALAYA SOC. ROAD ASLPHA VILLAGE GHATKOPAR WEST,022-25169495,1,4,3-Co-educational,,sainathprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0929569993558,72.8917350000515",
SHRI SANATAN DHARAM PRIMARY SCHOOL,F/ N -WARD,GTB NAGAR SION KOLIWADA,022-24093451,1,4,3-Co-educational,,ssdprimaryschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0352619997865,72.8662590000228",
SHRI SATYA SAI LP,K/E,North West Andheri East 166,022-28260601,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400159,ssspvm@yahoo.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1287629992415,72.8706080003959",
SHRI.PRADEEPKUMAR VADILAL GURUKUL GUJARATI SHALA,N WARD,"Navroji Cross Lane, M. G. Road, Ghatkopar West, Mumbai - 400086",022-25124617,1,4,3-Co-educational,,pvgurukulgujshala@gmail.comm,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0859279998671,72.9046129994832",
SHRIRAM VIDYAMANDIR HINDI,R/S-WARD,"BAHUJANHITAYCHAWLKRANTINAGAR,KANDIVALIE, MUMBAI",022-29663575,1,4,3-Co-educational,,shrirammndir132@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1928130001202,72.8757830003834",
SIR COWASJEE JEHANGIR HIGH SCHOOL,D,"SIR C. J. COLONY , SIR RATAN TATA ROAD, TARDEO, MUMBAI 34",022-23536885,1,4,3-Co-educational,www.sircjhs.com,cj_school2007@rediffmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9718490005904,72.8167419993815",
SIR ELLY KADOORIE SCHOOL,E,"Shivdas Chapsi Marg Opp. Chaitya Tower, Mazgaon 10",022-23748177,1,4,3-Co-educational,https://education.maharashtra.gov.in/Saral/27221200521,sir.elly.kadoorie@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9663280003474,72.8391400003468",
SIR J J PRINCESS STREET PRIMARY SCHOOL,C,"259, Engineer Building ,S.G.marg ,Marinelines",022-22062719,1,4,3-Co-educational,,smita.yadav@sjjpbi.org,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9453680006312,72.8268480002266",
SIR J. J. PAREL PRIMARY SCHOOL,F/S - WARD,"17, Dr. S. S. Rao Road, Parel, Mumbai 400012",022-24134339,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27221000116,maharukh.kotwal@sjjpbi.org,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9985529998599,72.8415629992128",
